author_sort                                                                                                , authors                                                                                              , timestamp                  , formats          , isbn           , pubdate                       , publisher                        , series                               , series_index, tags                                                          , title                                                                                                                                                                                       , title_sort
"oreilly"                                                                                                  , "oreilly"                                                                                            , "2013-02-24T20:08:18+01:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , ""                                                            , "oreilly - beautiful architecture, 1st edition - 2009"                                                                                                                                      , "oreilly - beautiful architecture, 1st edition - 2009"
"oreilly"                                                                                                  , "oreilly"                                                                                            , "2013-02-24T20:09:15+01:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , ""                                                            , "oreilly - head first software development, 1st edition"                                                                                                                                    , "oreilly - head first software development, 1st edition"
"oreilly"                                                                                                  , "oreilly"                                                                                            , "2013-02-24T20:09:23+01:00", "pdf"            , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , ""                                   , "1.0"       , ""                                                            , "oreilly - making things happen, 1st edition"                                                                                                                                               , "oreilly - making things happen, 1st edition"
"microsoft"                                                                                                , "microsoft"                                                                                          , "2013-02-24T20:10:59+01:00", "epub, mobi"     , ""             , "2009-11-30T00:00:00+01:00"   , ""                               , ""                                   , "1.0"       , ""                                                            , "microsoft - software requirements, 2nd edition - 2003"                                                                                                                                     , "microsoft - software requirements, 2nd edition - 2003"
"lovecraft, h. p."                                                                                         , "h. p. lovecraft"                                                                                    , "2025-01-11T14:20:25+01:00", "epub, mobi"     , ""             , "2012-06-11T00:00:00+02:00"   , ""                               , ""                                   , "1.0"       , "epub, novel, horror"                                         , "the complete works of h. p. lovecraft, volume 1"                                                                                                                                           , "complete works of h. p. lovecraft, volume 1, the"
"whitaker, sean"                                                                                           , "sean whitaker"                                                                                      , "2025-01-11T14:20:25+01:00", "epub, pdf"      , ""             , "2013-06-01T00:00:00+02:00"   , "Microsoft"                      , "microsoft"                          , "0.0"       , "epub, pdf, project management, pmp"                          , "pmp training kit"                                                                                                                                                                          , "pmp training kit"
"Rohmer, Sax"                                                                                              , "Sax Rohmer"                                                                                         , "2025-01-11T14:20:25+01:00", "epub"           , ""             , "0101-01-01T00:09:21+00:09:21", ""                               , "Fu-Manchu"                          , "2.0"       , "epub, novel"                                                 , "The Return of Dr. Fu-Manchu"                                                                                                                                                               , "Return of Dr. Fu-Manchu, The"
"jonathan anderson, john mcree, robb wilson"                                                               , "jonathan anderson, john mcree, robb wilson"                                                         , "2025-01-11T14:20:25+01:00", "pdf"            , ""             , "2010-02-01T00:00:00+01:00"   , "O'Reilly Media"                 , "oreilly"                            , "0.0"       , "pdf, oreilly, tech, project management"                      , "effective ui, 1st edition"                                                                                                                                                                 , "effective ui, 1st edition"
"sepulchre, jean-marie"                                                                                    , "jean-marie sepulchre"                                                                               , "2025-01-11T14:20:25+01:00", "epub, pdf"      , ""             , "0101-01-01T00:09:21+00:09:21", "eyrolles"                       , ""                                   , "1.0"       , "epub"                                                        , "le nikon d800/d800e"                                                                                                                                                                       , "nikon d800/d800e, le"
"Gemmell, David"                                                                                           , "David Gemmell"                                                                                      , "2025-01-11T14:20:25+01:00", "epub"           , ""             , "1992-01-01T22:19:07+01:00"   , "Bragelonne"                     , "le cycle drenaï"                    , "3.0"       , "epub, novel, fantasy"                                        , "le cycle drenaï, tome 2 - waylander II - dans le royaume du loup"                                                                                                                          , "cycle drenaï, tome 2 - waylander II - dans le royaume du loup, le"
"Gemmell, David"                                                                                           , "David Gemmell"                                                                                      , "2025-01-11T14:20:25+01:00", "epub"           , ""             , "1986-01-01T22:19:08+01:00"   , "Bragelonne"                     , "le cycle drenaï"                    , "1.0"       , "epub, novel, fantasy"                                        , "le cycle drenaï, tome 1 - waylander"                                                                                                                                                       , "cycle drenaï, tome 1 - waylander, le"
